Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Rwanda,RWA,Income share held by lowest 20%,SI.DST.FRST.20,5.2,..,..,..,..,4.6,..,..,..,..,6,..,..,6,..,..,..,..,..,..,7.4,..,..
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.798,49.49,51.262,53.529,55.52,56.968,58.342,59.504,60.641,64.189,64.651,65.088,65.419,65.733,66.14,66.354,66.691,66.953,66.85,67.528,67.785,..,..
Rwanda,RWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.967,5.893,5.816,5.737,5.64,5.5,5.335,5.141,4.922,4.201,4.136,4.117,4.108,4.106,4.084,4.047,3.985,3.913,3.841,3.778,3.698,..,..
Rwanda,RWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,47.24,45.656,42.566,41.423,41.01,40.283,39.131,39.236,40.587,40.658,40.826,39.77,38.552,36.55,34.251,32.495,32.019,31.514,31.158,31.057,30.779,..,..
Rwanda,RWA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,13.2,..,..,..,..,17.4,..,..,36.4,..,..,..,53.2,..,..,..,..,64.1,..,..,..,..,..
Rwanda,RWA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,31.3,..,..,..,..,38.6,..,..,52.1,..,..,..,90.7,..,..,..,..,94.2,..,..,..,..,..
Rwanda,RWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,184.9,166.8,149.4,133.3,118.1,104.9,93.7,84.5,76.2,54.5,51.7,49.6,47.8,46.3,45.2,44.3,43.4,42.5,41.6,40.8,40,..,..
Rwanda,RWA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,20.3,..,..,..,..,17.9,..,..,..,10.9,..,..,9.6,..,..,12.3,..,7.7,..,..,..,..,..
Rwanda,RWA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,74,69,69,90,84,89,95,94,92,97,95,97,96,95,97,99,96,94,87,99,96,97,..
Rwanda,RWA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,26.5409393310547,31.7821998596191,43.0246887207031,41.7583999633789,..,..,..,53.0556182861328,74.8167686688917,58.8075224064365,64.2972970895872,63.1980644451776,67.7449990888319,76.0721783802394,84.2233360485587,95.977301224131,..,95.4018170049936,..,59.3042433145261,66.8181034887911,..
Rwanda,RWA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,121.944969177246,123.550239562988,123.162269592285,131.434463500977,138.091659545898,148.047485351562,154.816009521484,154.724563598633,153.371821344578,123.706003554374,138.315807313314,137.243191055886,140.620022753129,139.309946965821,137.129353849659,138.020075127914,..,151.063571867834,148.752482099863,151.894816720753,149.572183149389,..
Rwanda,RWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,11.1507501602173,12.1046600341797,13.584939956665,15.3283996582031,16.4831008911133,18.1992893218994,20.3850002288818,22.1014308929443,39.662769317627,30.2092864949597,41.8218654918977,39.4099042857311,38.506238583342,39.6912128982215,41.1796940634956,44.0779032495009,..,44.1820840550314,44.1547093958443,45.1251505756161,48.790277194547,..
Rwanda,RWA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.93997997045517,0.963789999485016,0.976870000362396,0.980130016803741,0.997940003871918,1.00641000270844,1.02309000492096,1.00548994541168,1.0050300359726,1.02889001369476,1.03242003917694,1.03743004798889,1.02611005306244,1.01540005207062,1.01505994796753,1.01159000396729,1.00995004177094,..,1.02298998832703,..,..,..,..
