Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Malawi,MWI,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,5.5,..,..,..,..,..,6.4,..,..,7,..,..,..,..,..,..
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.469,53.652,54.687,55.715,56.714,57.787,58.859,59.87,60.816,61.651,62.324,63.163,63.914,64.464,64.995,65.216,64.782,66.037,67.353,..,..
Malawi,MWI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.848,5.802,5.724,5.609,5.453,5.263,5.083,4.902,4.759,4.569,4.384,4.216,4.113,4.021,3.952,3.877,3.791,3.72,3.648,..,..
Malawi,MWI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,158.396,156.845,153.372,149.444,146.351,143.882,140.716,138.194,135.531,132.107,128.196,125.062,123.466,122.398,120.579,118.757,116.517,115.047,113.577,..,..
Malawi,MWI,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,41.0162764,..,..,..,46.1,..,..,..,58.59982232,..,59.2,..,..,..,65.6131232873079,..,..,..,..,..
Malawi,MWI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,56.1,53.6,..,68,..,71.4,..,..,..,87.4,..,89.8,..,..,..,96.4,..,..,..,..,..
Malawi,MWI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,109.9,103.4,98.3,93.1,88.1,83,76.7,69.8,64,60.2,56.7,53.5,50.6,47.5,45.5,43.1,41.5,39.9,38.3,..,..
Malawi,MWI,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,15.6,..,..,11.7,13.9,..,..,..,16.7,11.8,14.6,12.3,11.5,10.8,12.8,..,..,..,..,..
Malawi,MWI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,82,85,83,88,92,93,96,90,88,85,87,81,83,87,92,90,90,82,87,89,..
Malawi,MWI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,60.8803215026855,60.7036895751953,61.8733406066895,67.1104278564453,68.1327514648438,65.8606861352408,70.1859278162596,73.5430368466405,77.6319601092247,77.7032284048367,..,..,..,..,76.5650195834699,..,86.0417244045101,..,68.3633913523696,70.1399332330763,..
Malawi,MWI,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,12.3,11.8,11.3,11.1,10.9,10.7,10.5,10.3,10.1,9.9,9.6,9.4,9,8.7,8.3,7.9,7.4,7,6.6,6.2,..
Malawi,MWI,Forest area (sq. km),AG.LND.FRST.K2,28717,28297,27877,27457,27037,26617,26197,25777,25357,24937,24517,24097,23677,23257,22837,22417,21997,21577,21157,..,..
Malawi,MWI,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,16.9,16.9,16.9,16.9,17.4,22.9,22.9,22.9,22.9,22.9,22.9,23.1,..
Malawi,MWI,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,8.40644361833953,..,..,..
Malawi,MWI,Urban population growth (annual %),SP.URB.GROW,3.15966660149165,3.22552393970417,3.29694444113219,3.40152438079919,3.46237323309805,3.44110049608203,3.39597396394666,3.33894855025274,3.29335673845668,3.24682151031395,3.18205072113662,3.14056098794322,3.10852759634947,3.03835350425563,3.37337029752981,3.60861308750451,3.76575887922325,3.93175072032932,4.11650556562097,4.29142427265585,..
Malawi,MWI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
