Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Burkina Faso,BFA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,30.4755191802979,31.8527793884277,33.9733009338379,37.6760787963867,55.8972269217297,60.8494277141905,59.5950909640897,60.3448419249273,60.1264533975278,61.5863350030506,62.608203204783,61.6091078457616,61.8698150998586,63.7436352801156,58.291190218396,51.6947761170006,51.9892903102133,..
Burkina Faso,BFA,"School enrollment, primary (% gross)",SE.PRM.ENRR,56.6982612609863,60.375,65.8891830444336,71.3662185668945,81.98174251568,83.2890892862992,84.5538716285922,85.1484827713554,87.4065255935815,89.5118329042903,91.5019771306419,89.7861564043823,87.6988473437538,87.0183353617198,82.2567064320916,72.2385948607578,77.1665925504108,..
Burkina Faso,BFA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,13.3723297119141,14.1544599533081,15.2793703079224,17.9947395324707,25.2399681000378,27.6008880705968,29.5668744354491,32.8931343608996,34.9336280775566,37.1627510802261,39.6278467471779,40.0770460332282,39.2540084845692,38.1480312365517,33.6212866168282,30.8551216331757,29.9905774531085,..
Burkina Faso,BFA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.782329976558685,0.799489974975586,0.817929983139038,0.839980006217957,0.914619982242584,0.936890006065369,0.948300004005432,0.960349977016449,0.971310019493103,0.982140004634857,0.989130020141602,1.00651001930237,1.0248099565506,1.04399132728577,..,..,..,..
Burkina Faso,BFA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,1.3,1.2,1.2,1.1,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,..
Burkina Faso,BFA,Forest area (sq. km),AG.LND.FRST.K2,69665,69165,68665,68165,66164.6,65664.4,65164.2,64664,64164,63664,63164,62664,62164,61664,61164,60664,..,..
Burkina Faso,BFA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,15.8,15.8,15.8,15.1,14.9,14.9,14.9,16.4,16.4,16.4,16.4,16.5,..
Burkina Faso,BFA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,6.544,..,..,..
Burkina Faso,BFA,Urban population growth (annual %),SP.URB.GROW,6.27808469740722,5.5204727764138,4.88377868131355,4.61804701256379,4.36448216727922,4.22685053238766,4.06394733568158,3.90316251357792,3.70295599634333,3.453237263364,3.10525103527391,2.66592775967332,3.34653648375742,4.08275479819578,4.03846027131982,4.115235532906,4.19892549480939,..
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,152.454065294215,160.051947053493,167.380496993818,168.80031087063,249.069045065321,258.229706435665,264.949904576004,279.219982120516,271.615575346763,285.313799439353,299.913437292717,302.330693379864,263.88298802906,303.171853475007,312.929085804227,..,..,..
Burkina Faso,BFA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,40.194879129333,41.8820280669419,42.723196812809,43.3212721930585,86.2436086701789,92.0577761158276,97.8635627240981,112.794646056738,108.612135513189,111.890743966382,117.475592867661,122.555380338625,130.36176787318,129.709864992171,131.191746177691,..,..,..
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,6146353173.34929,6547419820.38113,7625722836.76847,9451435490.11467,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18622421394.6133,20112614449.2039,23124729853.0218,..
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.66187322841225,6.25316468817478,4.11137901761516,5.79999174105387,6.45267237953146,5.79258484509867,4.32684561452976,3.9212287937935,5.95797670754024,6.20348941121868,6.60456906812341,5.88920497068135,2.01077262406221,6.94252492572348,1.62673258211919,3.00027415814125,4.79980951667159,..
Burkina Faso,BFA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.73938539728054,-0.662826822466556,2.49234918341701,9.15980043749074,5.82399948795916,-2.12917117768745,-0.620386925840478,-2.22395417919314,2.60429919226561,1.41629727998107,1.07396688968345,0.51290051556127,6.46559578788029,0.112863112943955,4.64258435284958,1.96648133830102,9.6697648715818,..
Burkina Faso,BFA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,26.7709190270281,25.2289761645165,21.8394874058463,27.314280245881,23.7560050181575,23.6410927919708,23.6937727725999,22.6464984902029,21.7147178290213,20.5855872188282,20.9974732840091,18.2205245524421,17.9151635677562,17.2902157538449,20.6297606481805,19.00655933992,20.9326147949123,..
Burkina Faso,BFA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,20.1658324331189,20.5038527918156,22.5483344043863,20.5479237002055,26.8675103794383,24.0957515828697,24.9295392471244,24.3613757844362,24.8815173666488,25.1402372200063,25.5894433780973,27.4259133812459,29.4694767840377,28.5306243008568,26.0439488959765,25.7539427182556,26.5145073963928,..
